Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:35:43.964;100;27.323;3.8
2025-01-18 19:35:44.064;100;24.961;3.8
2025-01-18 19:35:44.163;100;22.388;3.8
2025-01-18 19:35:44.264;100;20.637;3.8
2025-01-18 19:35:44.364;100;18.249;3.9
2025-01-18 19:35:44.464;100;16.100;3.9
2025-01-18 19:35:44.564;100;13.685;3.9
2025-01-18 19:35:44.664;100;10.475;3.9
2025-01-18 19:35:44.764;100;6.946;3.9
2025-01-18 19:35:44.864;100;3.444;3.9
2025-01-18 19:35:44.964;100;1.825;3.9
2025-01-18 19:35:45.064;100;1.374;3.9
2025-01-18 19:35:45.164;100;1.321;3.9
2025-01-18 19:35:45.264;100;1.295;3.9
2025-01-18 19:35:45.364;100;1.295;3.9
2025-01-18 19:35:45.464;100;1.295;3.9
2025-01-18 19:35:45.564;100;1.295;3.9
2025-01-18 19:35:45.664;100;1.295;3.9
2025-01-18 19:35:45.764;100;1.295;3.9
2025-01-18 19:35:45.864;100;1.295;3.9
2025-01-18 19:35:45.964;100;1.295;3.9
2025-01-18 19:35:46.064;100;1.295;3.9
2025-01-18 19:35:46.163;100;1.295;3.9
2025-01-18 19:35:46.264;100;1.295;3.9
2025-01-18 19:35:46.364;100;1.321;3.9
2025-01-18 19:35:46.464;100;1.295;3.9
2025-01-18 19:35:46.564;100;1.321;3.9
2025-01-18 19:35:46.664;100;1.321;3.9
2025-01-18 19:35:46.764;100;1.295;3.9
2025-01-18 19:35:46.864;100;1.321;3.9
2025-01-18 19:35:46.964;100;1.295;3.9
2025-01-18 19:35:47.064;100;1.295;3.9
2025-01-18 19:35:47.164;100;1.295;3.9
2025-01-18 19:35:47.264;100;1.321;3.9
2025-01-18 19:35:47.364;100;1.295;3.9
2025-01-18 19:35:47.464;100;1.295;3.9
2025-01-18 19:35:47.564;100;1.321;3.9
2025-01-18 19:35:47.664;100;1.295;3.9
2025-01-18 19:35:47.764;100;1.295;3.9
2025-01-18 19:35:47.864;100;1.295;3.9
2025-01-18 19:35:47.964;100;1.295;3.9
2025-01-18 19:35:48.064;100;1.295;3.9
2025-01-18 19:35:48.164;100;1.321;3.9
2025-01-18 19:35:48.264;100;1.321;3.9
2025-01-18 19:35:48.364;100;1.321;3.9
2025-01-18 19:35:48.464;100;1.295;3.9
2025-01-18 19:35:48.564;100;1.294;3.9
2025-01-18 19:35:48.664;100;1.295;3.9
2025-01-18 19:35:48.764;100;1.321;3.9
2025-01-18 19:35:48.864;100;1.321;3.9
2025-01-18 19:35:48.964;100;1.321;3.9
2025-01-18 19:35:49.064;100;1.321;3.9
2025-01-18 19:35:49.164;100;1.295;3.9
2025-01-18 19:35:49.264;100;1.321;3.9
2025-01-18 19:35:49.364;100;1.295;3.9
2025-01-18 19:35:49.464;100;1.321;3.9
2025-01-18 19:35:49.564;100;1.321;3.9
2025-01-18 19:35:49.664;100;1.295;3.9
2025-01-18 19:35:49.764;100;1.321;3.9
2025-01-18 19:35:49.864;100;1.321;3.9
2025-01-18 19:35:49.964;100;1.321;3.9
2025-01-18 19:35:50.064;100;1.321;3.9
2025-01-18 19:35:50.164;100;1.321;3.9
2025-01-18 19:35:50.264;100;1.295;3.9
2025-01-18 19:35:50.364;100;1.295;3.9
2025-01-18 19:35:50.464;100;1.321;3.9
2025-01-18 19:35:50.564;100;1.295;3.9
2025-01-18 19:35:50.664;100;1.321;3.9
2025-01-18 19:35:50.764;100;1.321;3.9
2025-01-18 19:35:50.864;100;1.321;3.9
2025-01-18 19:35:50.964;100;1.321;3.9
2025-01-18 19:35:51.064;100;1.321;3.9
2025-01-18 19:35:51.164;100;1.321;3.9
2025-01-18 19:35:51.264;100;1.321;3.9
2025-01-18 19:35:51.364;100;1.321;3.9
2025-01-18 19:35:51.464;100;1.321;3.9
2025-01-18 19:35:51.564;100;1.321;3.9
2025-01-18 19:35:51.663;100;1.295;3.9
2025-01-18 19:35:51.763;100;1.295;3.9
2025-01-18 19:35:51.863;100;1.321;3.9
2025-01-18 19:35:51.963;100;1.321;3.9
2025-01-18 19:35:52.063;100;1.295;3.9
2025-01-18 19:35:52.163;100;1.321;3.9
2025-01-18 19:35:52.263;100;1.321;3.9
2025-01-18 19:35:52.363;100;1.321;3.9
2025-01-18 19:35:52.464;100;1.321;3.9
2025-01-18 19:35:52.564;100;1.321;3.9
2025-01-18 19:35:52.664;100;1.321;3.9
2025-01-18 19:35:52.764;100;1.294;3.9
2025-01-18 19:35:52.864;100;1.321;3.9
2025-01-18 19:35:52.964;100;1.321;3.9
2025-01-18 19:35:53.064;100;1.321;3.9
2025-01-18 19:35:53.164;100;1.321;3.9
2025-01-18 19:35:53.264;100;1.295;3.9
2025-01-18 19:35:53.364;100;1.321;3.9
2025-01-18 19:35:53.464;100;1.321;3.9
2025-01-18 19:35:53.564;100;1.321;3.9
2025-01-18 19:35:53.664;100;1.321;3.9
2025-01-18 19:35:53.764;100;1.321;3.9
2025-01-18 19:35:53.864;100;1.321;3.9
2025-01-18 19:35:53.964;100;1.295;3.9
2025-01-18 19:35:54.064;100;1.321;3.9
2025-01-18 19:35:54.164;100;1.295;3.9
2025-01-18 19:35:54.264;100;1.321;3.9
2025-01-18 19:35:54.364;100;1.321;3.9
2025-01-18 19:35:54.464;100;1.321;3.9
2025-01-18 19:35:54.564;100;1.321;3.9
2025-01-18 19:35:54.664;100;1.321;3.9
2025-01-18 19:35:54.764;100;1.321;3.9
2025-01-18 19:35:54.864;100;1.321;3.9
2025-01-18 19:35:54.964;100;1.321;3.9
2025-01-18 19:35:55.064;100;1.295;3.9
2025-01-18 19:35:55.164;100;1.321;3.9
